Voltage [V],Current [pA]
0.000,150
-0.202,118
-0.407,91
-0.504,78
-0.599,65
-0.702,53
-0.817,40
-0.901,32
-1.006,23
-1.103,17
-1.207,9
-1.314,4
-1.402,1
-1.515,0
